"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"DFW","LBB","1840","1948",
2017-01-01,"STL","DFW","1902","2059",
2017-01-01,"DFW","MIA","0816","1140",
2017-01-01,"ORD","DFW","1458","1725",
2017-01-01,"CMH","DFW","1728","1913",
2017-01-01,"DFW","CMH","1334","1637",
2017-01-01,"MCO","DFW","2007","2136",
2017-01-01,"ORD","MCO","1452","1911",
2017-01-01,"MEM","DFW","0800","1002",
2017-01-01,"DFW","IAD","1134","1500",
2017-01-01,"OKC","DFW","1646","1746",
2017-01-01,"DFW","MEM","1824","1944",
2017-01-01,"DFW","MSY","1508","1634",
2017-01-01,"MSY","DFW","1710","1839",
2017-01-01,"DFW","TPA","0904","1220",
2017-01-01,"DFW","BWI","1329","1703",
2017-01-01,"DFW","DEN","1829","1924",
2017-01-01,"FLL","DFW","0701","0917",
2017-01-01,"CLE","DFW","0731","0945",
2017-01-01,"DFW","RSW","2027","2351",
2017-01-01,"DFW","IAH","2214","2323",
2017-01-01,"DFW","STL","1828","2004",
2017-01-01,"DFW","IAH","1038","1142",
2017-01-01,"LAX","DFW","1758","2256",
2017-01-01,"ORD","DFW","1817","2035",
2017-01-01,"DFW","MSY","1828","1946",
2017-01-01,"TUS","DFW","1124","1430",
2017-01-01,"BOS","PHX","0556","1022",
2017-01-01,"PHX","SAN","1116","1153",
2017-01-01,"MIA","STT","1749","2117",
2017-01-01,"DEN","ORD","1557","",
2017-01-01,"LAX","MCO","1024","1812",
2017-01-01,"JFK","MIA","1353","1704",
2017-01-01,"IAH","DFW","1232","1339",
2017-01-01,"DFW","SAT","1756","1853",
2017-01-01,"SAT","DFW","1948","2100",
2017-01-01,"DFW","OKC","1523","1614",
2017-01-01,"ORD","BOS","1506","1816",
2017-01-01,"MCO","ORD","1847","2042",
2017-01-01,"DFW","EWR","1017","1423",
2017-01-01,"DFW","EGE","1342","1458",
2017-01-01,"EGE","DFW","1551","1901",
2017-01-01,"MCI","DFW","0932","1127",
2017-01-01,"DFW","OMA","2111","2243",
