"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"HPN","MCO","0621","0859",
2017-01-01,"JFK","FLL","2259","0146",
2017-01-01,"FLL","JFK","1509","1746",
2017-01-01,"JFK","SJU","1358","1827",
2017-01-01,"SJU","JFK","1933","2243",
2017-01-01,"BOS","BUF","1720","1852",
2017-01-01,"BUF","BOS","1931","2041",
2017-01-01,"HPN","PBI","1130","1411",
2017-01-01,"BUF","EWR","1503","1621",
2017-01-01,"EWR","BUF","1303","1433",
2017-01-01,"HPN","ORD","0632","0807",
2017-01-01,"ORD","HPN","1822","2112",
2017-01-01,"EWR","BUF","1631","1740",
2017-01-01,"EWR","ROC","1755","1905",
2017-01-01,"ORD","HPN","1352","1646",
2017-01-01,"ORD","SYR","1754","2028",
2017-01-01,"EWR","ROC","2135","2242",
2017-01-01,"SYR","DTW","1724","1903",
2017-01-01,"HPN","ATL","0559","0831",
2017-01-01,"LGA","RIC","1657","1840",
2017-01-01,"DTW","BUF","0833","0921",
2017-01-01,"LGA","SAV","0928","1159",
2017-01-01,"ATL","HPN","2042","2240",
2017-01-01,"DTW","ELM","1959","2107",
2017-01-01,"ROC","CLT","1839","2027",
2017-01-01,"ALB","CLT","0756","1010",
2017-01-01,"ROC","CLT","0803","0958",
2017-01-01,"JFK","CLT","0814","1023",
2017-01-01,"JFK","STT","0829","1302",
2017-01-01,"STT","JFK","1414","1746",
2017-01-01,"JFK","SJU","1912","2341",
2017-01-01,"JFK","MIA","1129","1425",
2017-01-01,"JFK","TUS","1712","2053",
2017-01-01,"PHX","JFK","1616","2250",
2017-01-01,"TUS","JFK","2341","0603",
2017-01-01,"MIA","LGA","0703","0950",
2017-01-01,"MIA","JFK","1403","1649",
2017-01-01,"MIA","LGA","1125","1400",
2017-01-01,"LGA","CLT","1921","2107",
2017-01-01,"LGA","CLT","0814","1021",
2017-01-01,"LGA","CLT","1436","1729",
2017-01-01,"CLT","LGA","1845","2020",
2017-01-01,"ALB","CLT","1436","1639",
2017-01-01,"LGA","CLT","1700","1907",
2017-01-01,"LGA","PHL","1756","1859",
2017-01-01,"LGA","ATL","1659","1943",
2017-01-01,"CLT","ALB","1421","1600",
2017-01-01,"SYR","CLT","0807","1034",
2017-01-01,"MIA","JFK","0710","0955",
2017-01-01,"LGA","MIA","1316","1624",
2017-01-01,"MIA","LGA","0933","1217",
2017-01-01,"LGA","DFW","1743","2044",
2017-01-01,"PHX","JFK","1336","2013",
2017-01-01,"CLT","JFK","0917","1053",
2017-01-01,"JFK","CLT","1301","1504",
2017-01-01,"CLT","JFK","1959","2149",
2017-01-01,"AUS","JFK","1153","1604",
2017-01-01,"JFK","AUS","0735","1054",
2017-01-01,"JFK","CLT","1027","1223",
2017-01-01,"JFK","AUS","1719","2032",
2017-01-01,"CLT","JFK","0735","0918",
2017-01-01,"JFK","SEA","0725","1122",
2017-01-01,"SEA","JFK","2244","0654",
2017-01-01,"JFK","FLL","0939","1244",
2017-01-01,"FLL","JFK","1242","1517",
2017-01-01,"JFK","SJU","0918","1341",
2017-01-01,"SJU","JFK","1455","1802",
2017-01-01,"LGB","JFK","2153","0543",
2017-01-01,"SFO","JFK","0641","1449",
2017-01-01,"LAX","JFK","0621","1438",
2017-01-01,"TPA","JFK","1947","2210",
2017-01-01,"JFK","PBI","1806","2050",
2017-01-01,"PBI","JFK","2031","2307",
2017-01-01,"PBI","LGA","1000","1231",
2017-01-01,"JFK","ABQ","1953","2246",
2017-01-01,"ABQ","JFK","2349","0527",
2017-01-01,"JFK","SLC","1940","2300",
2017-01-01,"SLC","JFK","2233","0436",
2017-01-01,"MSY","JFK","0925","1303",
2017-01-01,"RNO","JFK","0005","0803",
2017-01-01,"JFK","RNO","1939","2259",
2017-01-01,"BUF","MCO","1241","1519",
2017-01-01,"ALB","FLL","1149","1453",
2017-01-01,"FLL","ALB","0818","1105",
2017-01-01,"JFK","SAN","1603","1936",
2017-01-01,"SAN","JFK","2053","0443",
2017-01-01,"MCO","HPN","1023","1245",
2017-01-01,"JFK","DEN","2024","2320",
2017-01-01,"DEN","JFK","0012","0537",
2017-01-01,"FLL","JFK","1349","1629",
2017-01-01,"JFK","ORD","1522","1712",
2017-01-01,"JFK","PWM","2241","2348",
2017-01-01,"HPN","FLL","0750","1038",
2017-01-01,"FLL","HPN","0752","1030",
2017-01-01,"JFK","SYR","0858","1020",
2017-01-01,"ALB","MCO","1418","1717",
2017-01-01,"MCO","ALB","1045","1322",
2017-01-01,"JFK","LAX","0702","1011",
2017-01-01,"LAX","JFK","0847","1713",
2017-01-01,"RSW","JFK","1755","2025",
2017-01-01,"JFK","PHX","1928","2309",
2017-01-01,"PHX","JFK","2358","0614",
2017-01-01,"JFK","PSP","1847","2152",
2017-01-01,"PSP","JFK","2247","0632",
2017-01-01,"JFK","PBI","2239","0129",
2017-01-01,"PBI","JFK","0620","0900",
2017-01-01,"JFK","SMF","1930","2310",
2017-01-01,"SMF","JFK","0003","0748",
2017-01-01,"JFK","SRQ","0935","1233",
2017-01-01,"SRQ","JFK","1359","1636",
2017-01-01,"JFK","OAK","2113","0059",
2017-01-01,"OAK","JFK","2204","0603",
2017-01-01,"MCO","JFK","2130","2347",
2017-01-01,"JFK","SAN","0937","1230",
2017-01-01,"SAN","JFK","1340","2138",
2017-01-01,"MCO","LGA","0553","0812",
2017-01-01,"LGA","MCO","0920","1223",
2017-01-01,"JFK","FLL","2148","0046",
2017-01-01,"PWM","JFK","1216","1322",
2017-01-01,"JFK","PWM","1023","1130",
2017-01-01,"JFK","LGB","1300","1546",
2017-01-01,"CLT","JFK","1038","1211",
2017-01-01,"JFK","CLT","0758","0959",
2017-01-01,"JFK","LAX","0842","1145",
2017-01-01,"JFK","TPA","2150","0044",
2017-01-01,"TPA","JFK","0953","1218",
2017-01-01,"RSW","JFK","2050","2329",
2017-01-01,"BTV","JFK","0536","0712",
2017-01-01,"JFK","BTV","2258","0002",
2017-01-01,"JFK","SEA","2029","2359",
2017-01-01,"MCO","JFK","1131","1350",
2017-01-01,"MCO","LGA","1932","2210",
2017-01-01,"JFK","BUF","1833","1959",
2017-01-01,"JFK","SJU","1523","2008",
2017-01-01,"JFK","LAS","1755","2049",
2017-01-01,"BOS","JFK","1134","1240",
